chengyu	pingyin	jieshi	chuchu	lizi
齿牙馀论	chǐ yá yú lùn	比喻随口称誉的话。	《南史·谢脁传》士子声名未立，应共奖成，无惜齿牙馀论。	今幸至江东，欲烦先生不惜～，使令弟弃刘备而事东吴。★明·罗贯中《三国演义》第44回
齿牙馀慧	chǐ yá yú huì	指帮人说好话。	清·和邦额《夜谭随录·苏仲芬》夫隐恶杨善，现在功德，何惜齿牙馀慧，而必以朴讷为耻。	无
齿牙馀惠	chǐ yá yú huì	指帮人说好话。	清·蒲松龄《聊斋志异·公孙九娘》生乃坐，请所命。曰‘令女甥寡居无耦，仆欲得主中馈。屡通媒妁，辄以无尊长之命为辞。幸无惜齿牙馀惠。’	无
齿牙春色	chǐ yá chūn sè	形容爽朗地大笑。	宋·陶彀《清异录·作用》娄师德位贵而性通豁，尤善捧腹大笑。人谓师德笑，为齿牙春色。	无
齿牙余论	chǐ yá yú lùn	微末的赞扬言辞。比喻不费力的奖励的话。	《南史·谢眺传》士子声名未立，应共奖成，无惜齿牙余论。	欲烦先生不惜～，使令弟弃刘备而事东吴。★明·罗贯中《三国演义》第四十四回
齿牙之猾	chǐ yá zhī huá	指谗言造成灾祸。	唐·柳宗元《唐故邕管招讨副使试大理司直兼贵州刺史邓君墓志铭》然以忧栗间于多虞，卒成耳环目之塞，道致齿牙之猾。	无
齿牙为祸	chǐ yá wéi huò	齿牙比喻谗言。指谗言拨弄，造成灾祸。	《史记·晋世家》初，献公将伐骊戎，人曰‘齿牙为祸。’及破骊戎，获骊姬，爱之，竟以乱晋。	无
齿牙为猾	chǐ yá wéi huá	指谗言造成灾祸。	《国语·晋语一》献公卜伐骊戎，史苏占之，曰‘胜而不吉。’公曰‘何谓也？’对曰‘遇兆，挟以衔骨，齿牙为猾。	无
齿弊舌存	chǐ bì shé cún	指刚者易折，柔者难毁。	语出汉·刘向《说苑·敬慎》老子曰‘夫舌之存也，岂非以其柔耶？齿之亡也，岂非以其刚耶？’	～，含垢藏疾。★北齐·颜之推《颜氏家训·勉学》
齿少气锐	chǐ shǎo qì ruì	指年轻气盛，锐意进取。	宋·王禹偁《答丁谓书》夫刚直之名，吾诚有之。盖嫉恶过当，而贤、不肖太分，亦天性然也。而又齿少气锐，勇于立事，今四十有三矣。	无
齿少心锐	chǐ shǎo xīn ruì	指年轻气盛，锐意进取。	唐·柳宗元《上门下李夷简相公陈情书》宗元曩者齿少心锐，径行高步，不知道之艰以陷于大厄。	无
齿如齐贝	chǐ rú qí bèi	形容牙齿整齐洁白。贝，白色螺壳。	《庄子·盗跖》唇如激丹，齿如含贝。	无
齿如编贝	chǐ rú biān bèi	形容牙齿整齐洁白。贝，白色螺壳。	清·龚自珍《己亥杂诗》之五二齿如编贝汉东方，不学咿嚘况对扬。屋瓦自惊天滓，丹毫圆折露华瀼。	无
齿如含贝	chǐ rú hán bèi	形容牙齿整齐洁白。贝，白色螺壳。	《文选·宋玉》腰如束素，齿如含贝。	无
齿危发秀	chǐ wēi fā xiù	指年高眉秀。	《文选·任昿》至若齿危发秀之老，含经味道之生，莫不北面人宗，自同资敬。	零陵古郡，湘水通州，有～之徒，凡四百人相与歌咏。★宋·陈瞻《宣抚记》
齿剑如归	chǐ jiàn rú guī	犹言视死如归。	《晋书·列女传论》比夫悬梁靡顾，齿剑如归，异日齐风，可以激扬千载矣。	无
齿亡舌存	chǐ wáng shé cún	亡脱落，不存在。牙齿都掉了，舌头还存在。比喻刚硬的容易折断，柔软的常能保全。	汉·刘向《说苑·敬慎》夫舌之存也，岂非以其柔耶？齿之亡也，岂非以其刚耶？	无
齰舌缄唇	zé shé jiān chún	齰”念zé。咬舌闭口。形容闭口不言。唇，同脣”。	《隋书·王孝籍传》况怀抱之内，冰火铄脂膏，腠理之间，风霜侵骨髓，安可齰舌缄脣（唇），吞声饮气，恶呻吟之响，忍酸辛之酷哉！	无
齑身粉骨	jī shēn fěn gǔ	犹言粉身碎骨。	明王守仁《辞封爵普恩赏以彰国典疏》臣世受国恩，齑身粉骨，亦无以报。	无
齐驱并骤	qí qū bìng zhòu	比喻彼此的力量或才能不分高下。同齐驱并驾”。	无	无
齐驱并驾	qí qū bìng jià	比喻彼此的力量或才能不分高下。同齐驱并驾”。	无	无
齐驱并进	qí qū bìng jìn	多方面同时前进。多形容几件事情或几项工作同时进行。同齐头并进”。	无	无
齐镳并驱	qí biāo bìng qū	比喻彼此的力量或才能不分高下。同齐驱并驾”。	无	无
齐量等观	qí liàng děng guān	指对有差别的事物同等看待。同等量齐观”。	无	无
齐轨连辔	qí guǐ lián pèi	犹言并驾齐驱。比喻彼此的力量或才能不分高下。	无	无
齐足并驱	qí zú bìng qū	指齐头并进，不分高下。	无	无
齐趋并驾	qí qū bìng jià	犹言并驾齐驱。比喻彼此的力量或才能不分高下。	无	无
齐纨鲁缟	qí wán lǔ gǎo	古代齐国和鲁国出产的白色绢◇亦泛指名贵的丝织品。	无	无
齐眉举案	qí méi jǔ àn	送饭时把托盘举得跟眉毛一样高◇形容夫妻互相尊敬。同举案齐眉”。	无	无
齐王舍牛	qí wáng shě niú	比喻帝王对臣民怀有恻隐之心。	《孟子·梁惠王上》王（齐宣王）坐于堂上，有牵牛而过堂下者，王见之，曰‘盼之？’对曰‘将以衅钟。’王曰‘舍之。吾不忍其觳觫，若无罪而就死地。’对曰‘然则废衅钟与？’曰‘何可废也？以羊易之。’	联祇膺灵命，抚遂群生，言念亭育，无忘鉴眛。殷帝去网，庶踵前修；～，实符本志。★唐·高祖《禁行刑屠杀诏》
齐烟九点	qí yān jiǔ diǎn	俯视九州，小如烟点。	唐·李贺《梦天》诗遥望齐州九点烟，一泓海水杯中泻。	无
齐心涤虑	qí xīn dí lǜ	净洁身心，清除杂念。同斋心涤虑”。	无	无
齐心戮力	qí xīn lù lì	戮合。指同心合力。	《墨子·尚贤》《汤誓》曰‘聿求元圣，与之戮力同心，以治天下。’	凡我同盟，～，以致臣节，必无二志。★明·罗贯中《三国演义》第五回
齐心并力	qí xīn bìng lì	众人一心，共同努力。亦作齐心同力”、朋心合力”、齐心协力”、齐心合力”。	无	无
齐心同力	qí xīn tóng lì	形容认识一致，共同努力。同齐心协力”。	无	无
齐心合力	qí xīn hé lì	形容认识一致，共同努力。	《墨子·尚贤》《汤誓》曰‘聿求元圣，与之戮力同心，以治天下。’	工人们～，只用一天时间就把道路修好了。
齐心协力	qí xīn xié lì	形容认识一致，共同努力。	《墨子·尚贤》《汤誓》曰‘聿求元圣，与之戮力同心，以治天下。’	往后咱们～，一块打反动派！★冯德英《迎春花》第十九章
齐心併力	qí xīn bìng lì	形容认识一致，共同努力。同齐心协力”。	无	无
齐心一力	qí xīn yī lì	形容认识一致，共同努力。同齐心协力”。	无	无
齐家治国	qí jiā zhì guó	整治家庭和治理国家。	《礼记·大学》所谓治国必先齐其家者，其家不可教，而能教人者，无之。故君子不出家而成教于国。	无
齐头并进	qí tóu bìng jìn	多方面同时前进。多形容几件事情或几项工作同时进行。	周恩来《在上海科学技术工作会议上的讲话》实现科学技术现代化的主要要求是实事求是，循序前进，齐头并进，迎头赶上。	无
齐天洪福	qí tiān hóng fú	称颂人福气大，与天相齐。	无	无
齐大非耦	qí dà fēi ǒu	旧时凡因不是门当户对而辞婚的，常用此话表示不敢高攀的意思。	《左传·桓公六年》齐侯欲以文姜妻郑大子忽，大子忽辞。人问其故，大子曰‘人各有耦，齐大，非吾耦也。’	臣闻～，著者前诰。辞霍不婚，垂称往烈。★南朝梁·沈约《奏弹王源》
齐大非偶	qí dà fēi ǒu	指辞婚者表示自己门第或势位卑微，不敢高攀。	先秦·左丘明《左传·桓公六年》齐侯欲以文姜妻郑大子忽，大子忽辞。人问其故，大子曰‘人各有耦，齐大，非吾耦也。’	陆徉为不知，以～，再以年貌悬殊，故意峻拒。★《扫迷帚》第七回
齐名并价	qí míng bìng jià	有同等的名望和身价。	无	无
齐人攫金	qí rén jué jīn	攫夺取。比喻利欲熏心而不顾一切。	战国·郑·列御寇《列子·说符》昔齐人有欲金者，清旦衣冠而之市，适鬻金者之所，因攫金而去。	你知道～”的故事？
齐东野语	qí dōng yě yǔ	齐东齐国的东部；野语乡下人的话。孟子蔑视农民，认为他们说的话没有根据，听信不得。比喻荒唐而没有根据的话。	《孟子·万章上》此非君子之言，齐东野人之语也。	听说明的方孝孺，就被永乐皇帝灭十族，其一是师”，但也许是～，我没有考查过这事的真伪。★鲁迅《两地书》二六
鼾声如雷	hān shēng rú léi	鼾声熟睡时发出的鼻息声。形容睡得很深，鼾声很大。	宋·沈括《梦溪笔谈》第九章上使人微觇准所为，而准方酣寝于中书，鼻息如雷。	无
鼻青额肿	bí qīng é zhǒng	鼻子发青，额头肿起。形容脸部伤势严重。	古华《芙蓉镇》第三章只有十多岁的娃娃们不知利害，不肯就范，但愿经过几回鼻青额肿的教训后，才不再作超越父母社会级别的轻举妄为。	无
鼻青脸肿	bí qīng liǎn zhǒng	鼻子发青，脸部肿起。形容脸部伤势严重。	《三侠五义》第四四回这恶贼原想着是个暗算，趁着军官作下揖去，不能防备，这一脚定然鼻青脸肿。	两条大汉子飞步闯出来，把沈建华拉下去，打得～。★杨大群《草头屯恩仇》第十四回
鼻青眼肿	bí qīng yǎn zhǒng	鼻子发青，眼睛肿起。形容脸部伤势严重。亦比喻遭受严重打击、挫折的狼狈相。	《醒世姻缘传》第三五回众人齐上，把一个德行之儒做下了个胯下之客，打得鼻青眼肿。	现在蒋介石在其他各战场，碰得～。★杜鹏程《保卫延安》第二章
鼻青眼紫	bí qīng yǎn zǐ	鼻子发青，眼圈发紫。形容脸部伤势严重。	张石山《甜苣儿》果然，没隔几天，场里打麦子的时候，四黑牛找个碴儿，劈头盖脑地把甜苣儿打个鼻青眼紫。	无
鼻青眼乌	bí qīng yǎn wū	鼻子发青，眼圈发黑。形容脸部伤势严重。	古华《水酒湾纪事》若不趁早回头……肯定有跌大跤子、鼻青眼乌的时侯。	无
鼻肿眼青	bí zhǒng yǎn qīng	鼻子肿起，眼圈发青。形容脸部伤势严重。	清·蒲松龄《寒森曲》第五回一伙人疾忙扶起，只见他鼻肿眼青。	无
鼻端生火	bí duān shēng huǒ	以之形容马行疾速。	语出《南史·曹景宗传》我昔在乡里，骑快马如龙……觉耳后生风，鼻头出火。	西家骁骑绕如龙，～耳生风。★元·杨维桢《奉题子昂骝马图》诗
鼻端出火	bí duān chū huǒ	形容意气风发；情绪激昂。	见鼻头出火”。	写少时豪侠，有～之概。★苏轼《方山子传》清·沈德潜评
鼻息如雷	bí xī rú léi	鼻息鼾声。打呼噜的声音就象打雷一样响。形容熟睡时鼾声大作。	宋·沈括《梦溪笔谈·人事》上使人微觇准所为，而准方酣寝于中书，鼻息如雷。	无
鼻孔辽天	bí kǒng liáo tiān	仰起头来鼻孔朝天。形容高傲自大。	见鼻孔撩天”。	诸佛不曾出世，人人～；祖师不曾西来，个个壁立千仞。★《五灯会元·临济宗·蒋山善直禅师》
鼻孔朝天	bí kǒng cháo tiān	仰起头来鼻孔朝天。形容高傲自大。	见鼻孔撩天”。	[李嵩平]平常那种～的凌人盛气，不知跑到哪里去了。★《花城》1981年第3期
鼻孔撩天	bí kǒng liáo tiān	仰起头来鼻孔朝天。形容高傲自大。	宋陆游《入蜀记》卷五荆州绝无禅林，惟二圣而已。然蜀僧出关，必走江浙，回者又已自谓有得，不复参叩。故语云‘下江者疾走如烟，上江者鼻孔撩天。徒劳他二佛打供，了不见一僧坐禅。’	无
鼻头出火	bí tóu chū huǒ	形容意气风发；情绪激昂。	《南史·曹景宗传》我昔在乡里，骑快马如龙，与年少辈数十骑，拓弓弦作礷砺声，箭如饿鸱叫，平泽中逐獐，数肋射之，渴饮其血，饥食其脯，甜如甘露浆，觉耳后生风，鼻头出火，此乐使人忘死。	无
鼻塌脣青	bí tǎ chún qīng	形容脸部伤势严重。	李涵秋《广陵潮》第六五回想罢再看看严大成，已打得鼻塌脣青，简直不成模样。	无
鼻塌嘴歪	bí tā zuǐ wāi	形容脸部伤势严重。	《儒林外史》第三九回那里禁得萧云仙的弹子打来，打得鼻塌嘴歪，无处躲藏。	只见两个人搀着那鸟教头走出庙来，打得～。★《荡寇志》第七二回
鼻塌唇青	bí tā chún qīng	形容脸部伤势严重。	李涵秋《广陵潮》第六五回想罢再看看严大成，已打得鼻塌唇青，简直不成模样。	无
鼻垩挥斤	bí è huī jīn	挥舞斧头削除鼻端之垩。比喻指正错误。	典出《庄子·徐无鬼》郢人垩漫其鼻端，若蝇翼，使匠石斫之，匠石运斤成风，听而斫之，尽垩而鼻不伤。	平生师友凋零尽，～未有人。★宋·陆游《叹老》诗
鼷鼠饮河	xī shǔ yǐn hé	比喻欲望有限。	无	无
鼷腹鹪枝	xī fù jiāo zhī	比喻欲望有限。	《庄子·逍遥游》鹪鹩巢于深林，不过一枝。偃鼠饮河，不过满腹。	读书不成，学仙寡效，～，从吾所好。★明·袁宏道《善哉行》
鼪鼯之径	wéi wú zhī jìng	引申为荒凉偏僻的小道。同鼪鼬之迳”。	无	无
鼪鼬之迳	tiān yòu zhī jìng	鼠鼬类往来的小路。引申为荒凉偏僻的小道。	无	无
鼠齧蠹蚀	shǔ niè dù shí	指鼠咬虫蛀。	无	无
鼠齧虫穿	shǔ niè chóng chuān	指鼠咬虫蛀。	无	无
鼠首偾事	shǔ shǒu fèn shì	坏了事情。比喻人办事没决断，就象胆小的老鼠，在出洞时头在洞口伸伸缩缩一样。	无	无
鼠雀之辈	shǔ què zhī bèi	蔑视他人之词。指鄙陋卑微之徒。	无	无
鼠雀之牙	shǔ què zhī yá	指争讼之事。	无	无
鼠键踪	shǔ jì hú zōng	比喻人行踪鬼祟。	无	无
鼠臂虮肝	shǔ bì jǐ gān	犹言鼠肝虫臂。指或为鼠臂或为虮肝，指人世变化无常。	无	无
鼠腹鸡肠	shǔ fù jī cháng	比喻气量狭小，只考虑小事，不顾大体。	明·兰陵笑笑生《金瓶梅》第三十一回不是说这贼三寸货强盗，那鼠腹鸡肠的心儿，只好有三寸大一般。	无
鼠腹蜗肠	shǔ fù wō cháng	鼹鼠的肚子，蜗牛的肠子。比喻所求有限或气量狭小。	《庄子·逍遥游》鹪鹩巢于深林，不过一枝；偃鼠饮河，不过满腹。	大圣啊，只说你是个宽洪海量之仙，谁知是个～之辈。★明·吴承恩《西游记》第七十六回
鼠肝虫臂	shǔ gān chóng bì	比喻极微小而无价值的东西。	《庄子·大宗师》以汝为汝肝乎？以汝为虫臂乎？	无
鼠肚鸡肠	shǔ dù jī cháng	比喻气量狭小，只考虑小事，不顾大体。	明·烟霞散人《斩鬼传》鼠肚鸡肠，一包粪也存不住，要你何用。	无
鼠窜蜂逝	shǔ cuàn fēng shì	形容纷纷跑散。	无	无
鼠窜狼奔	shǔ cuàn láng bēn	形容狼狈逃跑的情景。	明·施耐庵《水浒传》第六十六回此时大名城内百姓黎民，一个个鼠窜狼奔，一家家鬼哭神嚎。	无
鼠窜狗盗	shǔ cuàn gǒu dào	像鼠狗那样奔窜偷盗。	无	无
鼠窃狗盗	shǔ qiè gǒu dào	象老鼠少量窃取，象狗钻油偷盗。指小偷小摸。	《史记·刘敬书孙通列传》此特群盗鼠窃狗盗尔，何足置之齿牙间。	无
鼠窃狗偷	shǔ qiè gǒu tōu	象老鼠少量窃取，象狗钻油偷盗。指小偷小摸。	《史记·刘敬书孙通列传》此特群盗鼠窃狗盗尔，何足置之齿牙间。	～之徒，何足虑哉。★明·施耐庵《水浒全传》第七十五回
